Mathematics,Chemistry,Biology,Physics,Geography,English,Field_of_Interest,Course
D,F,C,C,B,B,Networks,Electrical and Computer Engineering
C,A,D,D,D,B,Solar Electricity,Electrical and Renewable Energy
B,C,A,B,F,F,Electronics,Electronics and Telecommunication Engineering
A,F,F,D,F,D,Electronics,Electronics and Telecommunication Engineering
B,D,D,D,F,F,Solar Electricity,Electrical and Renewable Energy
D,C,B,D,D,F,Solar Electricity,Electrical and Renewable Energy
C,C,C,F,D,A,Electronics,Electronics and Telecommunication Engineering
C,C,D,C,D,B,Solar Electricity,Electrical and Renewable Energy
C,D,F,C,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,F,A,D,C,Solar Electricity,Electrical and Renewable Energy
F,C,B,B,C,B,Computer,Electrical and Computer Engineering
F,B,B,D,A,F,Computer,Electrical and Computer Engineering
B,A,D,B,C,A,Electronics,Electronics and Telecommunication Engineering
F,D,A,C,F,C,Electronics,Electronics and Telecommunication Engineering
F,B,F,C,B,F,Networks,Electrical and Computer Engineering
C,D,A,D,F,F,Solar Electricity,Electrical and Renewable Energy
C,C,A,F,D,C,Computer,Electrical and Computer Engineering
B,B,D,D,B,F,Networks,Electrical and Computer Engineering
A,F,C,D,F,F,Electronics,Electronics and Telecommunication Engineering
B,A,C,A,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,C,F,D,A,Solar Electricity,Electrical and Renewable Energy
D,D,B,B,F,A,Networks,Electrical and Computer Engineering
D,A,F,F,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,B,D,C,C,Electronics,Electronics and Telecommunication Engineering
B,B,F,D,F,A,Computer,Electrical and Computer Engineering
B,B,F,D,A,F,Networks,Electrical and Computer Engineering
F,C,F,D,B,B,Networks,Electrical and Computer Engineering
D,B,D,D,F,C,Electronics,Electronics and Telecommunication Engineering
B,D,C,F,C,A,Electronics,Electronics and Telecommunication Engineering
C,F,B,D,D,A,Computer,Electrical and Computer Engineering
C,C,B,C,D,C,Computer,Electrical and Computer Engineering
F,D,D,C,D,A,Computer,Electrical and Computer Engineering
F,D,F,A,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,C,B,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,A,C,C,F,Electronics,Electronics and Telecommunication Engineering
A,D,A,A,F,C,Networks,Electrical and Computer Engineering
F,A,D,F,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,C,B,B,A,Electronics,Electronics and Telecommunication Engineering
F,A,A,D,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,A,D,D,B,Computer,Electrical and Computer Engineering
F,F,B,F,F,D,Electronics,Unknown
C,F,C,B,F,C,Computer,Electrical and Computer Engineering
A,B,A,C,F,B,Solar Electricity,Electrical and Renewable Energy
A,D,B,B,A,B,Networks,Electrical and Computer Engineering
A,A,C,A,A,B,Computer,Electrical and Computer Engineering
B,F,F,F,B,B,Networks,Electrical and Computer Engineering
B,C,C,C,B,F,Electronics,Electronics and Telecommunication Engineering
D,D,D,B,F,F,Solar Electricity,Electrical and Renewable Energy
D,D,B,B,C,B,Networks,Electrical and Computer Engineering
D,C,F,C,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,B,A,A,A,Electronics,Electronics and Telecommunication Engineering
B,C,B,A,A,A,Solar Electricity,Electrical and Renewable Energy
D,B,A,B,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,C,D,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,B,C,C,D,Solar Electricity,Electrical and Renewable Energy
D,F,B,A,F,C,Computer,Electrical and Computer Engineering
F,C,D,A,A,F,Solar Electricity,Electrical and Renewable Energy
C,D,D,A,C,D,Solar Electricity,Electrical and Renewable Energy
B,D,D,F,B,D,Solar Electricity,Electrical and Renewable Energy
D,D,B,D,D,A,Networks,Electrical and Computer Engineering
B,B,F,A,A,D,Computer,Electrical and Computer Engineering
B,B,C,D,D,D,Electronics,Electronics and Telecommunication Engineering
B,D,B,B,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,A,B,C,A,Networks,Electrical and Computer Engineering
A,B,F,F,F,A,Computer,Electrical and Computer Engineering
D,B,F,D,D,B,Solar Electricity,Electrical and Renewable Energy
A,A,C,C,A,A,Networks,Electrical and Computer Engineering
A,A,F,F,D,C,Networks,Electrical and Computer Engineering
A,F,C,A,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,F,B,D,F,Electronics,Electronics and Telecommunication Engineering
F,B,C,B,F,A,Computer,Electrical and Computer Engineering
B,C,D,C,D,A,Computer,Electrical and Computer Engineering
B,F,D,F,B,C,Computer,Electrical and Computer Engineering
A,F,F,D,F,F,Solar Electricity,Unknown
B,C,F,B,D,F,Solar Electricity,Electrical and Renewable Energy
A,C,C,A,D,C,Networks,Electrical and Computer Engineering
F,A,C,C,C,C,Electronics,Electronics and Telecommunication Engineering
D,F,B,C,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,D,C,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,B,A,F,F,Electronics,Electronics and Telecommunication Engineering
D,D,B,C,A,B,Computer,Electrical and Computer Engineering
C,D,A,D,F,C,Electronics,Electronics and Telecommunication Engineering
A,A,C,D,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,A,F,D,B,Solar Electricity,Electrical and Renewable Energy
C,D,A,F,B,D,Electronics,Electronics and Telecommunication Engineering
C,D,B,D,F,F,Networks,Electrical and Computer Engineering
A,B,A,A,C,C,Solar Electricity,Electrical and Renewable Energy
C,A,C,F,B,D,Networks,Electrical and Computer Engineering
B,C,B,C,F,D,Networks,Electrical and Computer Engineering
D,D,C,D,B,D,Electronics,Electronics and Telecommunication Engineering
D,B,F,B,A,C,Networks,Electrical and Computer Engineering
D,D,A,A,B,B,Computer,Electrical and Computer Engineering
B,B,B,A,A,C,Electronics,Electronics and Telecommunication Engineering
C,A,D,D,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,C,B,B,F,Computer,Electrical and Computer Engineering
C,B,A,A,C,B,Solar Electricity,Electrical and Renewable Energy
A,F,C,F,C,C,Electronics,Electronics and Telecommunication Engineering
D,F,C,B,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,F,C,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,C,F,A,C,Electronics,Electronics and Telecommunication Engineering
A,D,F,B,B,F,Computer,Electrical and Computer Engineering
B,A,F,D,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,F,A,A,F,Electronics,Electronics and Telecommunication Engineering
F,C,A,F,F,A,Electronics,Electronics and Telecommunication Engineering
A,A,C,D,D,A,Networks,Electrical and Computer Engineering
D,D,C,B,F,A,Electronics,Electronics and Telecommunication Engineering
C,C,F,C,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,C,A,D,F,Networks,Electrical and Computer Engineering
B,B,C,A,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,F,F,C,Computer,Unknown
F,A,D,D,D,F,Computer,Electrical and Computer Engineering
C,A,D,B,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,F,B,C,D,Solar Electricity,Electrical and Renewable Energy
F,D,A,D,B,C,Solar Electricity,Electrical and Renewable Energy
A,B,C,A,D,A,Solar Electricity,Electrical and Renewable Energy
D,A,C,D,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,D,B,A,C,Electronics,Electronics and Telecommunication Engineering
A,C,F,D,C,C,Networks,Electrical and Computer Engineering
D,A,A,A,F,F,Electronics,Electronics and Telecommunication Engineering
A,B,F,F,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,D,A,F,B,Electronics,Electronics and Telecommunication Engineering
F,F,D,C,D,B,Computer,Electrical and Computer Engineering
D,C,C,C,F,F,Networks,Electrical and Computer Engineering
C,B,B,D,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,A,A,B,B,Networks,Electrical and Computer Engineering
D,B,A,A,D,B,Solar Electricity,Electrical and Renewable Energy
F,A,B,B,D,D,Solar Electricity,Electrical and Renewable Energy
B,D,D,F,A,D,Computer,Electrical and Computer Engineering
A,F,F,A,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,A,D,B,C,Solar Electricity,Electrical and Renewable Energy
D,D,B,B,C,C,Networks,Electrical and Computer Engineering
A,D,C,B,D,D,Networks,Electrical and Computer Engineering
C,B,C,D,A,D,Computer,Electrical and Computer Engineering
B,B,D,D,F,A,Solar Electricity,Electrical and Renewable Energy
C,F,A,A,D,A,Electronics,Electronics and Telecommunication Engineering
D,B,F,A,D,F,Solar Electricity,Electrical and Renewable Energy
A,B,A,B,D,C,Computer,Electrical and Computer Engineering
D,B,C,B,A,F,Solar Electricity,Electrical and Renewable Energy
A,B,A,F,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,C,B,A,A,Computer,Electrical and Computer Engineering
B,F,B,D,F,C,Electronics,Electronics and Telecommunication Engineering
F,B,B,D,F,C,Networks,Electrical and Computer Engineering
F,F,C,F,C,F,Solar Electricity,Unknown
D,C,F,C,A,D,Networks,Electrical and Computer Engineering
B,A,F,C,A,D,Computer,Electrical and Computer Engineering
A,B,A,D,C,A,Networks,Electrical and Computer Engineering
A,A,C,C,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,D,C,D,B,Computer,Electrical and Computer Engineering
A,C,F,F,D,C,Computer,Electrical and Computer Engineering
D,F,F,B,F,D,Solar Electricity,Electrical and Renewable Energy
F,A,B,B,B,A,Computer,Electrical and Computer Engineering
F,D,F,C,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,F,A,A,F,Solar Electricity,Electrical and Renewable Energy
B,D,F,F,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,C,C,D,B,Electronics,Electronics and Telecommunication Engineering
D,D,C,A,C,A,Solar Electricity,Electrical and Renewable Energy
B,D,B,A,C,F,Computer,Electrical and Computer Engineering
C,A,A,F,F,C,Computer,Electrical and Computer Engineering
D,A,F,B,A,C,Computer,Electrical and Computer Engineering
D,C,A,D,A,A,Electronics,Electronics and Telecommunication Engineering
D,F,C,A,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,F,D,F,C,Computer,Electrical and Computer Engineering
D,A,A,D,F,A,Networks,Electrical and Computer Engineering
A,B,A,F,D,B,Computer,Electrical and Computer Engineering
D,A,D,B,D,A,Solar Electricity,Electrical and Renewable Energy
F,F,C,F,D,C,Solar Electricity,Electrical and Renewable Energy
D,B,B,A,B,D,Networks,Electrical and Computer Engineering
C,D,B,B,F,A,Electronics,Electronics and Telecommunication Engineering
C,D,D,C,F,F,Solar Electricity,Electrical and Renewable Energy
F,B,A,B,D,B,Electronics,Electronics and Telecommunication Engineering
A,B,D,F,C,B,Electronics,Electronics and Telecommunication Engineering
A,B,D,F,D,B,Networks,Electrical and Computer Engineering
B,C,C,D,B,F,Solar Electricity,Electrical and Renewable Energy
F,F,F,C,C,F,Computer,Unknown
D,F,A,B,F,B,Electronics,Electronics and Telecommunication Engineering
F,D,B,C,B,B,Electronics,Electronics and Telecommunication Engineering
B,D,B,D,B,B,Solar Electricity,Electrical and Renewable Energy
F,D,D,C,C,A,Solar Electricity,Electrical and Renewable Energy
F,A,D,C,D,F,Networks,Electrical and Computer Engineering
B,D,D,B,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,A,C,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,D,D,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,D,A,D,A,Electronics,Electronics and Telecommunication Engineering
C,C,F,A,B,A,Networks,Electrical and Computer Engineering
A,A,A,F,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,C,A,D,B,Solar Electricity,Electrical and Renewable Energy
A,F,C,B,B,C,Electronics,Electronics and Telecommunication Engineering
D,C,F,F,C,D,Electronics,Electronics and Telecommunication Engineering
D,B,B,A,A,F,Solar Electricity,Electrical and Renewable Energy
F,C,C,A,D,D,Networks,Electrical and Computer Engineering
C,A,A,F,D,A,Networks,Electrical and Computer Engineering
A,B,B,B,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,D,F,C,B,Solar Electricity,Electrical and Renewable Energy
B,A,A,B,B,B,Computer,Electrical and Computer Engineering
D,B,B,B,B,D,Networks,Electrical and Computer Engineering
B,B,C,D,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,D,A,B,A,Electronics,Electronics and Telecommunication Engineering
D,B,D,A,B,F,Networks,Electrical and Computer Engineering
D,A,A,C,B,A,Computer,Electrical and Computer Engineering
A,D,D,F,D,B,Electronics,Electronics and Telecommunication Engineering
D,D,B,D,D,C,Electronics,Electronics and Telecommunication Engineering
B,B,F,A,B,D,Solar Electricity,Electrical and Renewable Energy
D,B,C,C,B,B,Solar Electricity,Electrical and Renewable Energy
C,A,A,D,C,A,Networks,Electrical and Computer Engineering
F,B,F,B,C,F,Computer,Electrical and Computer Engineering
B,F,F,A,F,C,Solar Electricity,Electrical and Renewable Energy
C,D,A,F,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,B,D,B,A,Electronics,Electronics and Telecommunication Engineering
B,B,C,C,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,A,F,F,B,Electronics,Electronics and Telecommunication Engineering
F,B,F,B,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,F,F,F,A,Electronics,Unknown
A,D,A,C,A,B,Solar Electricity,Electrical and Renewable Energy
B,C,F,B,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,A,C,D,B,Networks,Electrical and Computer Engineering
A,A,A,A,C,F,Networks,Electrical and Computer Engineering
D,D,C,C,F,B,Computer,Electrical and Computer Engineering
C,A,A,F,B,F,Computer,Electrical and Computer Engineering
F,F,F,A,F,D,Computer,Unknown
D,B,D,A,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,C,D,B,D,Electronics,Electronics and Telecommunication Engineering
D,C,F,F,D,C,Computer,Electrical and Computer Engineering
C,B,F,F,D,D,Solar Electricity,Electrical and Renewable Energy
A,A,C,B,C,B,Networks,Electrical and Computer Engineering
C,A,C,C,F,B,Networks,Electrical and Computer Engineering
A,C,F,C,C,C,Solar Electricity,Electrical and Renewable Energy
A,F,D,F,B,C,Networks,Electrical and Computer Engineering
F,C,B,C,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,F,F,D,B,Solar Electricity,Electrical and Renewable Energy
D,C,C,A,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,A,C,D,D,Networks,Electrical and Computer Engineering
F,F,A,C,C,B,Solar Electricity,Electrical and Renewable Energy
A,F,C,F,A,C,Solar Electricity,Electrical and Renewable Energy
F,C,C,F,F,A,Solar Electricity,Electrical and Renewable Energy
B,D,B,B,D,F,Networks,Electrical and Computer Engineering
B,A,C,C,F,B,Networks,Electrical and Computer Engineering
D,B,A,D,C,B,Networks,Electrical and Computer Engineering
F,F,D,F,D,B,Computer,Electrical and Computer Engineering
D,C,C,D,C,B,Computer,Electrical and Computer Engineering
D,D,B,A,F,F,Electronics,Electronics and Telecommunication Engineering
B,D,D,A,C,F,Solar Electricity,Electrical and Renewable Energy
D,A,B,D,C,A,Networks,Electrical and Computer Engineering
B,F,D,A,C,B,Solar Electricity,Electrical and Renewable Energy
A,A,C,D,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,A,B,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
